"filename", "language", "TypeScript", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"d:\Clients\salam hack\fintich\src\app\dashboard\my-projects\new\page.tsx", "TypeScript JSX", 0, 280, 0, 8, 16, 304
"d:\Clients\salam hack\fintich\src\app\dashboard\my-projects\page.tsx", "TypeScript JSX", 0, 78, 0, 1, 8, 87
"d:\Clients\salam hack\fintich\src\app\dashboard\page.tsx", "TypeScript JSX", 0, 101, 0, 5, 13, 119
"d:\Clients\salam hack\fintich\src\app\dashboard\projects\[id]\edit\page.tsx", "TypeScript JSX", 0, 291, 0, 3, 18, 312
"d:\Clients\salam hack\fintich\src\app\dashboard\projects\[id]\page.tsx", "TypeScript JSX", 0, 304, 0, 6, 19, 329
"d:\Clients\salam hack\fintich\src\app\dashboard\projects\new\page.tsx", "TypeScript JSX", 0, 276, 0, 7, 17, 300
"d:\Clients\salam hack\fintich\src\app\dashboard\projects\page.tsx", "TypeScript JSX", 0, 149, 0, 1, 7, 157
"d:\Clients\salam hack\fintich\src\app\dashboard\settings\page.tsx", "TypeScript JSX", 0, 7, 0, 0, 1, 8
"d:\Clients\salam hack\fintich\src\app\dashboard\withdrawals\page.tsx", "TypeScript JSX", 0, 7, 0, 0, 1, 8
"d:\Clients\salam hack\fintich\src\app\error.tsx", "TypeScript JSX", 0, 73, 0, 7, 15, 95
"d:\Clients\salam hack\fintich\src\app\globals.css", "PostCSS", 0, 0, 207, 0, 14, 221
"d:\Clients\salam hack\fintich\src\app\layout.tsx", "TypeScript JSX", 0, 30, 0, 0, 4, 34
"d:\Clients\salam hack\fintich\src\app\loading.tsx", "TypeScript JSX", 0, 25, 0, 6, 5, 36
"d:\Clients\salam hack\fintich\src\app\not-found.tsx", "TypeScript JSX", 0, 47, 0, 7, 8, 62
"d:\Clients\salam hack\fintich\src\app\page.tsx", "TypeScript JSX", 0, 24, 0, 0, 2, 26
"d:\Clients\salam hack\fintich\src\components\features\footer\index.tsx", "TypeScript JSX", 0, 139, 0, 3, 8, 150
"d:\Clients\salam hack\fintich\src\components\features\header\index.tsx", "TypeScript JSX", 0, 141, 0, 9, 11, 161
